PARAM,HORIZON,LANES,MARGIN,NUM_VEHICLES,PARK_CAP_MULT,AIR_SPEED,MAX_ENDURANCE,OPERATIONAL_CAP,TAT,NETWORKS,WEATHER_SCEN,WEATHER_CUTOFF,FIXED_DIR,DEM_MIN_VERT,DEMAND_ALPHA,TIME_DISC,NUM_ROUTES,PP_ALGO,TPR,KNN,PRED_TYPE,SEEDS,TIME_LIMIT,OPT_GAP
1,120,2,3.0,3,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
2,120,4,3.0,3,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
3,120,8,3.0,3,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
4,120,2,5.0,3,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
5,120,4,5.0,3,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
6,120,8,5.0,3,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
7,120,2,10.0,3,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
8,120,4,10.0,3,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
9,120,8,10.0,3,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
10,120,2,3.0,10,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
11,120,4,3.0,10,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
12,120,8,3.0,10,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
13,120,2,5.0,10,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
14,120,4,5.0,10,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
15,120,8,5.0,10,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
16,120,2,10.0,10,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
17,120,4,10.0,10,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
18,120,8,10.0,10,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
19,120,2,3.0,20,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
20,120,4,3.0,20,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
21,120,8,3.0,20,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
22,120,2,5.0,20,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
23,120,4,5.0,20,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
24,120,8,5.0,20,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
25,120,2,10.0,20,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
26,120,4,10.0,20,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
27,120,8,10.0,20,1.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
28,120,2,3.0,3,2.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
29,120,4,3.0,3,2.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
30,120,8,3.0,3,2.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
31,120,2,5.0,3,2.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
32,120,4,5.0,3,2.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
33,120,8,5.0,3,2.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
34,120,2,10.0,3,2.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
35,120,4,10.0,3,2.0,100.0,90,1,5,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
